種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩,最小最大
建物,◆◇南向きの庭の開放感あふれる住宅◇◆,2830,岐阜県岐阜市西改田字米野95番5.6.8,樽見鉄道「北方真桑」徒歩49分,4LDK+S,225.01,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78968024/,2026/1/8,0,樽見鉄道,北方真桑,49,最小
建物,【タマタウン七郷小】新春スペシャルプライス開催！内覧会開催中！,2980,岐阜県岐阜市西改田字若宮76番1　他,岐阜市コミュニティバス「オークワ西改田店」徒歩3分,4LDK,188.45,111.79,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77897757/,2026/1/8,0,岐阜市コミュニティバス,オークワ西改田店,3,最小
建物,【タマタウン七郷小】新春スペシャルプライス開催！内覧会開催中！,3380,岐阜県岐阜市西改田字若宮76番1　他,岐阜市コミュニティバス「オークワ西改田店」徒歩3分,4LDK,188.61,116.75,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77897757/,2026/1/8,0,岐阜市コミュニティバス,オークワ西改田店,3,最大
建物,■間接照明・高天井のお洒落な空間■4LDK収納豊富■2台並列駐車■南庭,3080,岐阜県岐阜市白菊町４,岐阜バス「萱場口」徒歩4分,4LDK+2S,141.53,107.65,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77428428/,2026/1/8,0,岐阜バス,萱場口,4,
建物,12/22より新価格！岐阜環状線に近く買い物に便利な立地！耐震3・ＺＥＨ,3150,岐阜県岐阜市旦島１-７番,岐阜バス「島消防署前」徒歩5分,4LDK,166.91,111.28,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76147939/,2026/1/8,0,岐阜バス,島消防署前,5,
建物,◆◇南向きの庭の開放感あふれる3LDK＋S◇◆,3380,岐阜県岐阜市正法寺町46番5,名鉄名古屋本線「岐南」徒歩14分,3LDK+S,163.53,104.35,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78507086/,2026/1/8,0,名鉄名古屋本線,岐南,14,
建物,【ダイワハウス】60坪以上、4台駐車可能な敷地利用！,3490,岐阜県岐阜市鷺山南蝉1067番1、1067番3、1068番3、1069番4他,JR東海道本線「岐阜」バス29分停歩4分,3LDK,200.34,94.4,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_75202799/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,【ダイワハウス】60坪以上、4台駐車可能な敷地利用！,3490,岐阜県岐阜市鷺山南蝉1067番1、1067番3、1068番3、1069番4他,JR東海道本線「岐阜」バス29分停歩4分,3LDK,200.35,94.4,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_75202799/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,【ダイワハウス】穂積駅徒歩11分/駐車3台可能/初期保証30年,3490,岐阜県瑞穂市只越字西村中1075番22,JR東海道本線「穂積」徒歩11分,3LDK,179.87,92.75,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_75150530/,2026/1/8,0,JR東海道本線,穂積,11,
建物,【ダイワハウス】名鉄各務原市役所前駅徒歩圏内、前面道路8ｍのゆとりある平屋,3490,岐阜県各務原市那加東新町２-12番2,名鉄各務原線「各務原市役所前」徒歩10分,3LDK,195.03,81.47,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_75516345/,2026/1/8,0,名鉄各務原線,各務原市役所前,10,
建物,回って、つながる。家事ラク設計。,3545,岐阜県羽島郡笠松町無動寺263番2,名鉄名古屋本線「笠松」車3.2km,3LDK,191.1,122.97,,https://suumo.jp/ikkodate/gifu/sc_hashimagun/nc_76874722/,2026/1/8,0,名鉄名古屋本線,笠松,,
建物,【最終１邸】陽当たり良好×家事ラク動線－快適な暮らしを実現！,3648,岐阜県各務原市那加南栄町72番10,名鉄各務原線「市民公園前」徒歩9分,4LDK,165.29,127.94,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_74934176/,2026/1/8,0,名鉄各務原線,市民公園前,9,
建物,【ダイワハウス】耐震等級３・断熱等級５・太陽光発電により光熱費削減が期待,3670,岐阜県岐阜市福光東３-11番36他,JR東海道本線「岐阜」バス29分停歩4分,3LDK,142.43,97.7,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77075091/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,【ダイワハウス】耐震等級３・断熱等級５・太陽光発電により光熱費削減が期待,3870,岐阜県岐阜市福光東３-11番36他,JR東海道本線「岐阜」バス29分停歩4分,4LDK,142.56,97.7,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77075091/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,【タマタウン上土居Ⅶ】新春スペシャルプライス開催！内覧会開催中！,3680,岐阜県岐阜市上土居３-12番5,JR東海道本線「岐阜」徒歩73分,4LDK,184.43,113.44,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78739627/,2026/1/8,0,JR東海道本線,岐阜,73,
建物,☆最終１邸！☆駐車場3台～☆オール電化×長期優良住宅☆家電100万円,3790,岐阜県岐阜市月丘町３-１６番１他,JR東海道本線「岐阜」バス9分停歩2分,4LDK,150.69,107.64,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_75089225/,2026/1/8,0,JR東海道本線,岐阜,,
建物,第１期早くも最終1邸の為、第２期工事中(2月完成)ですが発売開始します！,3850,岐阜県岐阜市柳津町東塚３-20番,名鉄竹鼻線「西笠松」徒歩11分,3LDK,153.16,111.8,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78677646/,2026/1/8,0,名鉄竹鼻線,西笠松,11,最小
建物,第１期早くも最終1邸の為、第２期工事中(2月完成)ですが発売開始します！,4280,岐阜県岐阜市柳津町東塚３-20番,名鉄竹鼻線「西笠松」徒歩11分,4LDK+2S,164,125.05,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78677646/,2026/1/8,0,名鉄竹鼻線,西笠松,11,最大
建物,【ダイワハウス】西岐阜駅徒歩13分、便利な施設が揃う分譲住宅で新生活を！,3980,岐阜県岐阜市鏡島精華１-4番37,JR東海道本線「西岐阜」徒歩13分,3LDK,162.8,92.73,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_75692428/,2026/1/8,0,JR東海道本線,西岐阜,13,
建物,積水ハウスのノウハウ・施工品質が詰まった分譲住宅が岐阜市江崎南に誕生！,3980,岐阜県岐阜市江崎南,JR東海道本線「西岐阜」徒歩21分~21分,3LDK,199.39,104.75,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78139593/,2026/1/8,0,JR東海道本線,西岐阜,21,最小
建物,積水ハウスのノウハウ・施工品質が詰まった分譲住宅が岐阜市江崎南に誕生！,4730,岐阜県岐阜市江崎南,JR東海道本線「西岐阜」徒歩21分~21分,3LDK,199.39,104.75,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78139593/,2026/1/8,0,JR東海道本線,西岐阜,21,最大
建物,畳コーナー付き洋の開放感ある家。,4095,岐阜県各務原市三井北町１-272,JR高山本線「那加」徒歩8分,3LDK,206.45,122.55,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_77938368/,2026/1/8,0,JR高山本線,那加,8,
建物,【ダイワハウス】岐阜城と金華山を眺望できる立地！,4300,岐阜県岐阜市長良西山前34-7他,JR東海道本線「岐阜」徒歩84分,3LDK,156.7,102.02,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78789932/,2026/1/8,0,JR東海道本線,岐阜,84,最小
建物,【ダイワハウス】岐阜城と金華山を眺望できる立地！,4700,岐阜県岐阜市長良西山前34-7他,JR東海道本線「岐阜」徒歩84分,4LDK,161.4,108.58,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78789932/,2026/1/8,0,JR東海道本線,岐阜,84,最大
建物,【ダイワハウス】駐車3台可能！耐震等級3！ZEH基準の断熱等級5！,4480,岐阜県岐阜市上川手字盛坪581番6他,名鉄名古屋本線「茶所」徒歩12分,4LDK,150.03,105.62,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78789931/,2026/1/8,0,名鉄名古屋本線,茶所,12,最小
建物,【ダイワハウス】駐車3台可能！耐震等級3！ZEH基準の断熱等級5！,4580,岐阜県岐阜市上川手字盛坪581番6他,名鉄名古屋本線「茶所」徒歩12分,4LDK,150.03,107.31,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78789931/,2026/1/8,0,名鉄名古屋本線,茶所,12,最大
建物,【パナホーム愛岐】＼GX志向型住宅　対象物件／2025年６月完成,4860,岐阜県各務原市鵜沼南町２-85-10,名鉄犬山線「新鵜沼」徒歩5分,3LDK,188.85,83.86,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_77180359/,2026/1/8,0,名鉄犬山線,新鵜沼,5,
建物,12/1から12/30見学会開催エアコンサービス付き予約見学３千円,1890,岐阜県羽島市上中町長間836,名鉄竹鼻線「江吉良」徒歩23分,4LDK,180.99,96.78,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78735369/,2026/1/8,0,名鉄竹鼻線,江吉良,23,最小
建物,12/1から12/30見学会開催エアコンサービス付き予約見学３千円,2090,岐阜県羽島市上中町長間836,名鉄竹鼻線「江吉良」徒歩23分,4LDK,222.15,98.01,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78735369/,2026/1/8,0,名鉄竹鼻線,江吉良,23,最大
建物,【現地販売会社のヤマダ不動産　リライフ】　成約特典：ＪＣＢ商品券6.5万円,1990,岐阜県岐阜市河渡２,JR東海道本線「穂積」徒歩21分,4LDK,204.44,98.82,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78933395/,2026/1/8,0,JR東海道本線,穂積,21,最小
建物,【現地販売会社のヤマダ不動産　リライフ】　成約特典：ＪＣＢ商品券6.5万円,2190,岐阜県岐阜市河渡２,JR東海道本線「穂積」徒歩21分,4LDK,211.55,98.82,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78933395/,2026/1/8,0,JR東海道本線,穂積,21,最大
建物,【即日ご案内可能×月々4万円台～】■駐車3台可能■全居室収納付き,2090,岐阜県瑞穂市生津天王東町１,JR東海道本線「穂積」徒歩23分,4LDK+S,192.79,100.44,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_77184629/,2026/1/8,0,JR東海道本線,穂積,23,
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2090,岐阜県瑞穂市生津天王東町１,JR東海道本線「穂積」徒歩22分,4LDK+S,192.79,110.16,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_77286766/,2026/1/8,0,JR東海道本線,穂積,22,
建物,◆成約特典：ＪＣＢ商品券7.4万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2280,岐阜県羽島市福寿町本郷412,名鉄羽島線「新羽島」徒歩12分,4LDK,220.26,101.02,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78489301/,2026/1/8,0,名鉄羽島線,新羽島,12,
建物,◆成約特典：ＪＣＢ商品券7.4万円＆ヤマダ電機特別割引券◆長期優良住宅◆,2280,岐阜県各務原市川島松倉町770,JR高山本線「那加」徒歩82分,4LDK,193.15,95.65,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78489385/,2026/1/8,0,JR高山本線,那加,82,最小
建物,◆成約特典：ＪＣＢ商品券7.4万円＆ヤマダ電機特別割引券◆長期優良住宅◆,2380,岐阜県各務原市川島松倉町770,JR高山本線「那加」徒歩82分,4LDK,193.15,95.65,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78489385/,2026/1/8,0,JR高山本線,那加,82,最大
建物,◆全居室収納あり収納たっぷり◆駐車３台以上可◆対面式キッチンで家族団らん,2280,岐阜県各務原市川島松倉町,名鉄各務原線「新那加」徒歩83分,4LDK,193.15,107.24,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_79029793/,2026/1/8,0,名鉄各務原線,新那加,83,
建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2280,岐阜県各務原市川島松倉町,JR高山本線「那加」車6.8km,4LDK,193.15,95.65,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78485445/,2026/1/8,0,JR高山本線,那加,,最小
建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2450,岐阜県各務原市川島松倉町,JR高山本線「那加」車6.8km,4LDK,193.15,95.65,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78485445/,2026/1/8,0,JR高山本線,那加,,最大
建物,成約特典：ＪＣＢ商品券7.7万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2380,岐阜県岐阜市島田１-5-15,名鉄名古屋本線「名鉄岐阜」バス10分停歩8分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78606158/,2026/1/8,0,名鉄名古屋本線,名鉄岐阜,,最小
建物,成約特典：ＪＣＢ商品券7.7万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2580,岐阜県岐阜市島田１-5-15,名鉄名古屋本線「名鉄岐阜」バス10分停歩8分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78606158/,2026/1/8,0,名鉄名古屋本線,名鉄岐阜,,最大
建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2380,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス17分停歩5分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78834438/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2580,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス17分停歩5分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78834438/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2380,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス17分停歩5分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78580589/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2580,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス17分停歩5分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78580589/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,＼即日案内可能／５ＬＤＫ物件！収納も豊富♪徒歩圏内に買物施設充実！,2380,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス16分停歩6分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78525225/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,＼即日案内可能／５ＬＤＫ物件！収納も豊富♪徒歩圏内に買物施設充実！,2580,岐阜県岐阜市島田１,JR東海道本線「岐阜」バス16分停歩6分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78525225/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,【5月完成予定！】広々WIC複数完備！コンビニ歩3分！整形地！耐震等級３級,2380,岐阜県各務原市川島小網町,名鉄各務原線「各務原市役所前」徒歩55分,5LDK,181.93,101.56,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_79034452/,2026/1/8,0,名鉄各務原線,各務原市役所前,55,
建物,室内完成・即見学可能◇助金対象物件◇簡単予約で即ご案内可能◇,2380,岐阜県岐阜市島田１,JR東海道本線「岐阜」徒歩44分,5LDK,150.82,105.99,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78463419/,2026/1/8,0,JR東海道本線,岐阜,44,最小
建物,室内完成・即見学可能◇助金対象物件◇簡単予約で即ご案内可能◇,2580,岐阜県岐阜市島田１,JR東海道本線「岐阜」徒歩44分,5LDK,185.56,106,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78463419/,2026/1/8,0,JR東海道本線,岐阜,44,最大
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2580,岐阜県岐阜市野一色１,JR高山本線「長森」車3km,5LDK,161.07,106,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78588531/,2026/1/8,0,JR高山本線,長森,,
建物,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2580,岐阜県岐阜市野一色１,JR高山本線「長森」車3km,5LDK,161.07,106,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78693517/,2026/1/8,0,JR高山本線,長森,,
建物,◆成約特典：ＪＣＢ商品券8.3万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2580,岐阜県岐阜市日野南３-11番6,名鉄名古屋本線「名鉄一宮」バス20分停歩5分,4LDK,181.82,119.25,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79070544/,2026/1/8,0,名鉄名古屋本線,名鉄一宮,,
建物,◆成約特典：ＪＣＢ商品券8.3万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2580,岐阜県岐阜市野一色１-6-2、7-5、117-4の一部,JR高山本線「長森」徒歩34分,5LDK,161.07,106,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78488803/,2026/1/8,0,JR高山本線,長森,34,
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2590,岐阜県各務原市那加新田町２,JR高山本線「那加」徒歩13分,4LDK,188.73,102.06,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78128072/,2026/1/8,0,JR高山本線,那加,13,
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2690,岐阜県岐阜市長森本町２,JR東海道本線「岐阜」バス13分停歩4分,4LDK,168.21,105.29,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78970917/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2790,岐阜県岐阜市長森本町２,JR東海道本線「岐阜」バス13分停歩4分,4LDK+S,168.21,105.29,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78970917/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,◆成約特典：ＪＣＢ商品券8.6万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2690,岐阜県岐阜市長森本町２-8-15,名鉄名古屋本線「名鉄岐阜」バス13分停歩2分,4LDK,168.21,96.78,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78929311/,2026/1/8,0,名鉄名古屋本線,名鉄岐阜,,最小
建物,◆成約特典：ＪＣＢ商品券8.6万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2790,岐阜県岐阜市長森本町２-8-15,名鉄名古屋本線「名鉄岐阜」バス13分停歩2分,4LDK+S,168.21,96.78,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78929311/,2026/1/8,0,名鉄名古屋本線,名鉄岐阜,,最大
建物,人気の平屋あります♪現地販売業者完成後は弊社にてオープンハウス開催！,2690,岐阜県岐阜市日野南３-15,JR東海道本線「岐阜」バス22分停歩4分,4LDK,274.25,97.11,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78345444/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,人気の平屋あります♪現地販売業者完成後は弊社にてオープンハウス開催！,2890,岐阜県岐阜市日野南３-15,JR東海道本線「岐阜」バス22分停歩4分,4LDK+S,334.72,119.25,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78345444/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,１／7更新飯田グループHD≪ホームトレードセンター≫【本日見学可能♪】,2760,岐阜県岐阜市前一色２,JR高山本線「長森」徒歩12分,5LDK,152.74,108.89,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78604692/,2026/1/8,0,JR高山本線,長森,12,
建物,＼即日案内可能／３台駐車◎スーパー徒歩４分！国道２１号線へ出やすい立地♪,2790,岐阜県岐阜市下奈良２,JR東海道本線「西岐阜」徒歩27分,2LDK+S,171.28,99.63,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78142494/,2026/1/8,0,JR東海道本線,西岐阜,27,最小
建物,＼即日案内可能／３台駐車◎スーパー徒歩４分！国道２１号線へ出やすい立地♪,2990,岐阜県岐阜市下奈良２,JR東海道本線「西岐阜」徒歩27分,4LDK,171.28,99.63,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78142494/,2026/1/8,0,JR東海道本線,西岐阜,27,最大
建物,６月完成☆羽島市福寿町間島分譲④☆ZEH住宅☆竹鼻小学校７分☆,2880,岐阜県羽島市福寿町間島９丁目19番,名鉄竹鼻線「竹鼻」徒歩17分,4LDK+S,190.76,120.09,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_77224521/,2026/1/8,0,名鉄竹鼻線,竹鼻,17,
建物,◆◇南向きの庭と前道6ｍ、ゆとりを感じる4LDK◇◆,2880,岐阜県岐阜市須賀２-41.42,JR東海道本線「西岐阜」徒歩33分,3LDK+S,170.07,109.32,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76452662/,2026/1/8,0,JR東海道本線,西岐阜,33,最小
建物,◆◇南向きの庭と前道6ｍ、ゆとりを感じる4LDK◇◆,2880,岐阜県岐阜市須賀２-41.42,JR東海道本線「西岐阜」徒歩33分,4LDK,170.09,109.32,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76452662/,2026/1/8,0,JR東海道本線,西岐阜,33,最小
建物,アクセスも教育も。家族が笑顔になる『岐南町野中の家』,2880,岐阜県羽島郡岐南町野中３-45番2,名鉄各務原線「手力」徒歩26分,3LDK+S,171.75,107.51,,https://suumo.jp/ikkodate/gifu/sc_hashimagun/nc_76002726/,2026/1/8,0,名鉄各務原線,手力,26,最小
建物,アクセスも教育も。家族が笑顔になる『岐南町野中の家』,2880,岐阜県羽島郡岐南町野中３-45番2,名鉄各務原線「手力」徒歩26分,4LDK,173.67,109.32,,https://suumo.jp/ikkodate/gifu/sc_hashimagun/nc_76002726/,2026/1/8,0,名鉄各務原線,手力,26,最小
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2980,岐阜県岐阜市西鶉６,JR東海道本線「西岐阜」車3.9km,4LDK,175.21,111.27,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78486813/,2026/1/8,0,JR東海道本線,西岐阜,,最小
建物,１／６更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2980,岐阜県岐阜市西鶉６,JR東海道本線「西岐阜」車3.9km,5LDK,175.21,111.27,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78486813/,2026/1/8,0,JR東海道本線,西岐阜,,最小
