種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩,最小最大
建物,茜部小学校まで徒歩9分♪/岐阜バス【茜部大川】まで徒歩4分♪,3380,岐阜県岐阜市茜部菱野４-106番1・5・6,名鉄名古屋本線「笠松」徒歩29分,4LDK,182.81,116.77,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78822375/,2026/1/8,0,名鉄名古屋本線,笠松,29,最小
建物,茜部小学校まで徒歩9分♪/岐阜バス【茜部大川】まで徒歩4分♪,3780,岐阜県岐阜市茜部菱野４-106番1・5・6,名鉄名古屋本線「笠松」徒歩29分,4LDK+S,188.09,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78822375/,2026/1/8,0,名鉄名古屋本線,笠松,29,最大
建物,伸びやかな街並みに穏やかな生活を。,3180,岐阜県岐阜市東鶉３-67,名鉄竹鼻線「柳津」徒歩31分,4LDK,168.74,110.98,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78967268/,2026/1/8,0,名鉄竹鼻線,柳津,31,最小
建物,伸びやかな街並みに穏やかな生活を。,3480,岐阜県岐阜市東鶉３-67,名鉄竹鼻線「柳津」徒歩31分,4LDK,168.75,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78967268/,2026/1/8,0,名鉄竹鼻線,柳津,31,最大
建物,◆◇南向きの庭の開放感あふれる住宅◇◆,3380,岐阜県岐阜市北一色５-35・36・37,名鉄各務原線「細畑」徒歩22分,3LDK+S,187.06,109.32,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79020970/,2026/1/8,0,名鉄各務原線,細畑,22,最小
建物,◆◇南向きの庭の開放感あふれる住宅◇◆,3680,岐阜県岐阜市北一色５-35・36・37,名鉄各務原線「細畑」徒歩22分,4LDK+S,187.08,117.6,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79020970/,2026/1/8,0,名鉄各務原線,細畑,22,最大
建物,◆敷地面積66坪以上×庭のある住まい◆南向き/耐震等級3/長期優良住宅,3450,岐阜県岐阜市柳津町上佐波２-95-1他,名鉄竹鼻線「柳津」徒歩28分,4LDK,219.12,135.54,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78915824/,2026/1/8,0,名鉄竹鼻線,柳津,28,最小
建物,◆敷地面積66坪以上×庭のある住まい◆南向き/耐震等級3/長期優良住宅,3780,岐阜県岐阜市柳津町上佐波２-95-1他,名鉄竹鼻線「柳津」徒歩28分,5LDK,219.12,135.54,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78915824/,2026/1/8,0,名鉄竹鼻線,柳津,28,最大
建物,【12/26更新】ミライエ標準装備！ZEH水準省エネ住宅！収納豊富な住まい,3980,岐阜県岐阜市六条東２,JR東海道本線「岐阜」徒歩19分~20分,4LDK,132.07,100.52,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78687096/,2026/1/8,0,JR東海道本線,岐阜,19,最小
建物,【12/26更新】ミライエ標準装備！ZEH水準省エネ住宅！収納豊富な住まい,4080,岐阜県岐阜市六条東２,JR東海道本線「岐阜」徒歩19分~20分,4LDK,132.07,100.52,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78687096/,2026/1/8,0,JR東海道本線,岐阜,19,最大
建物,◆◇4区画が並ぶ南向きの庭と広い敷地、家族にゆとりの4LDK◇◆,2580,岐阜県岐阜市岩崎字一町田631番1,JR東海道本線「岐阜」車7.7km,4LDK,217.88,116.36,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77227833/,2026/1/8,0,JR東海道本線,岐阜,,最小
建物,◆◇4区画が並ぶ南向きの庭と広い敷地、家族にゆとりの4LDK◇◆,2830,岐阜県岐阜市岩崎字一町田631番1,JR東海道本線「岐阜」車7.7km,4LDK+S,250.03,119.26,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77227833/,2026/1/8,0,JR東海道本線,岐阜,,最大
建物,◆◇南庭が広がる整形地、収納充実の4LDK◇◆,2680,岐阜県岐阜市西中島３-6番7・8,JR東海道本線「西岐阜」徒歩40分,3LDK+S,163.29,109.32,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76138982/,2026/1/8,0,JR東海道本線,西岐阜,40,最小
建物,◆◇南庭が広がる整形地、収納充実の4LDK◇◆,2680,岐阜県岐阜市西中島３-6番7・8,JR東海道本線「西岐阜」徒歩40分,4LDK,183.19,109.74,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76138982/,2026/1/8,0,JR東海道本線,西岐阜,40,最小
建物,◆◇南向きの庭の開放感あふれる住宅◇◆,2830,岐阜県岐阜市西改田字米野95番5.6.8,樽見鉄道「北方真桑」徒歩49分,4LDK,173.89,110.15,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78968024/,2026/1/8,0,樽見鉄道,北方真桑,49,最小
